order_id,customer_id,product_sku,quantity,unit_price,total_amount,order_date,shipping_status,payment_method,shipping_address
ORD-L1001,CUST-112,PROD-A013,1,64.99,64.99,2023-01-01,Cancelled,CREDIT_CARD,"3316 Market Street, Charlotte, NC 28227"
ORD-L1002,CUST-295,PROD-A017,1,98,98,2023-01-01,Cancelled,GIFT_CARD,"6966 Cedar Lane, Apt 24C, Los Angeles, CA 90075"
ORD-L1003,CUST-336,PROD-A015,1,49.99,49.99,2023-01-01,In Transit,DEBIT_CARD,"5065 Maple Drive, Seattle, WA 98177"
ORD-L1004,CUST-118,PROD-A006,1,349.99,349.99,2023-01-01,Processing,DEBIT_CARD,"831 Park Place, Apt 10A, Philadelphia, PA 19040"
ORD-L1005,CUST-238,PROD-A015,4,49.99,199.96,2023-01-01,Shipped,CREDIT_CARD,"1272 Market Street, Apt 30D, Chicago, IL 60639"
ORD-L1006,CUST-167,PROD-A012,1,79.99,79.99,2023-01-02,In Transit,PAYPAL,"8191 Oak Avenue, Denver, CO 80292"
ORD-L1007,CUST-014,PROD-A006,4,349.99,1399.96,2023-01-02,Delivered,CREDIT_CARD,"5705 Hill Street, Boston, MA 02136"
ORD-L1008,CUST-393,PROD-A002,1,19.99,19.99,2023-01-02,Cancelled,AMAZON_PAY,"5695 Hill Street, Apt 30C, San Diego, CA 92138"
ORD-L1009,CUST-068,PROD-A013,1,64.99,64.99,2023-01-02,Shipped,CREDIT_CARD,"188 Hill Street, Indianapolis, IN 46298"
ORD-L1010,CUST-368,PROD-A012,1,79.99,79.99,2023-01-02,Shipped,PAYPAL,"4440 Market Street, Apt 32A, Philadelphia, PA 19045"
ORD-L1011,CUST-391,PROD-A016,1,129.99,129.99,2023-01-03,Shipped,PAYPAL,"8284 Park Place, Seattle, WA 98114"
ORD-L1012,CUST-213,PROD-A011,2,89.99,179.98,2023-01-03,Shipped,DEBIT_CARD,"4621 Sunset Boulevard, San Diego, CA 92120"
ORD-L1013,CUST-424,PROD-A020,1,18.99,18.99,2023-01-03,Shipped,GIFT_CARD,"1730 Sunset Boulevard, Apt 12A, Philadelphia, PA 19093"
ORD-L1014,CUST-320,PROD-A013,3,64.99,194.97,2023-01-03,Shipped,DEBIT_CARD,"5643 Hill Street, Jacksonville, FL 32013"
ORD-L1015,CUST-432,PROD-A005,4,79.99,319.96,2023-01-04,In Transit,DEBIT_CARD,"8313 Park Place, Nashville, TN 37279"
ORD-L1016,CUST-481,PROD-A003,2,12.99,25.98,2023-01-04,In Transit,AMAZON_PAY,"7848 Sunset Boulevard, San Francisco, CA 94125"
ORD-L1017,CUST-185,PROD-A006,1,349.99,349.99,2023-01-04,Cancelled,GIFT_CARD,"5176 Forest Avenue, Denver, CO 80275"
ORD-L1018,CUST-476,PROD-A015,1,47.85,47.85,2023-01-04,Processing,AMAZON_PAY,"2944 Cedar Lane, Apt 10A, San Diego, CA 92148"
