account_id,promotion_applied,quantity,order,customer,product,unit,total,shipping,payment,
ACC-02399,,3.0,SALE-03001,"362 Center St #188, New York, NY 10001",ITEM-3010,46.12,138.36,Delivered,PayPal,third_system_sales.json
ACC-02399,,3.0,SALE-03001,"362 Center St #188, New York, NY 10001",ITEM-3010,46.12,138.36,Delivered,PayPal,third_system_sales.json
ACC-02399,,3.0,SALE-03001,"362 Center St #188, New York, NY 10001",ITEM-3010,46.12,138.36,Delivered,PayPal,third_system_sales.json
ACC-02399,,3.0,SALE-03001,"362 Center St #188, New York, NY 10001",ITEM-3010,46.12,138.36,Delivered,PayPal,third_system_sales.json
ACC-02399,,3.0,SALE-03001,"362 Center St #188, New York, NY 10001",ITEM-3010,46.12,138.36,Delivered,PayPal,third_system_sales.json
ACC-02410,,1.0,SALE-03002,"5203 Forest Ave #25, Chicago, IL 60616",ITEM-3002,20.75,20.75,Pending,Bank Transfer,third_system_sales.json
ACC-02410,,1.0,SALE-03002,"5203 Forest Ave #25, Chicago, IL 60616",ITEM-3002,20.75,20.75,Pending,Bank Transfer,third_system_sales.json
ACC-02410,,1.0,SALE-03002,"5203 Forest Ave #25, Chicago, IL 60616",ITEM-3002,20.75,20.75,Pending,Bank Transfer,third_system_sales.json
ACC-02410,,1.0,SALE-03002,"5203 Forest Ave #25, Chicago, IL 60616",ITEM-3002,20.75,20.75,Pending,Bank Transfer,third_system_sales.json
ACC-02410,,1.0,SALE-03002,"5203 Forest Ave #25, Chicago, IL 60616",ITEM-3002,20.75,20.75,Pending,Bank Transfer,third_system_sales.json
ACC-02133,,1.0,SALE-03003,"4056 Spring St, New York, NY 10030",ITEM-3001,289.35,289.35,In Transit,Cash on Delivery,third_system_sales.json
ACC-02133,,1.0,SALE-03003,"4056 Spring St, New York, NY 10030",ITEM-3001,289.35,289.35,In Transit,Cash on Delivery,third_system_sales.json
ACC-02133,,1.0,SALE-03003,"4056 Spring St, New York, NY 10030",ITEM-3001,289.35,289.35,In Transit,Cash on Delivery,third_system_sales.json
ACC-02133,,1.0,SALE-03003,"4056 Spring St, New York, NY 10030",ITEM-3001,289.35,289.35,In Transit,Cash on Delivery,third_system_sales.json
ACC-02133,,1.0,SALE-03003,"4056 Spring St, New York, NY 10030",ITEM-3001,289.35,289.35,In Transit,Cash on Delivery,third_system_sales.json
ACC-02420,,1.0,SALE-03004,"8963 Main St, Portland, OR 97201",ITEM-3019,9.01,9.01,Delivered,PayPal,third_system_sales.json
ACC-02420,,1.0,SALE-03004,"8963 Main St, Portland, OR 97201",ITEM-3019,9.01,9.01,Delivered,PayPal,third_system_sales.json
ACC-02420,,1.0,SALE-03004,"8963 Main St, Portland, OR 97201",ITEM-3019,9.01,9.01,Delivered,PayPal,third_system_sales.json
ACC-02420,,1.0,SALE-03004,"8963 Main St, Portland, OR 97201",ITEM-3019,9.01,9.01,Delivered,PayPal,third_system_sales.json
ACC-02420,,1.0,SALE-03004,"8963 Main St, Portland, OR 97201",ITEM-3019,9.01,9.01,Delivered,PayPal,third_system_sales.json
,LIGHTNING_DEAL,1.0,2023-01-01T04:47:37.445Z,USER-1404,B08TW5NKRQ,94.99,94.99,FBM,Discover,modern_sales.csv
,LIGHTNING_DEAL,2.0,2023-01-01T12:00:50.271Z,USER-1078,B07XQZX9M2,14.99,29.98,FBA,VISA,modern_sales.csv
,COUPON_10,1.0,2023-01-01T16:27:58.370Z,USER-1077,B09C5RK5TV,74.99,74.99,FBM,Discover,modern_sales.csv
