customer_id,first_name,last_name,email_address,phone_number,street_address,city,state,zip_code,country,registration_date,premium_member
"Cox, Melissa",,,melissac@outlook.com,5558256534,5190 River Dr,Dallas,,75285,TX,2020-02-04,
Richard Young,,,richardy@mail.com,5551563980,"6110 Hill St, # 23D",Nashville,,37264,TN,2020-06-08,
Michelle Murphy,,,michellem@outlook.com,5558660442,1820 Oak Ave,San Antonio,,78228,TX,2020-03-09,
"Baker, Daniel",,,danielb@icloud.com,5551309706,4800 Hill St,Columbus,,43090,OH,2020-07-14,
"Nelson, Donna",,,donnan@outlook.com,5554421793,"5095 Broadway, # 7C",Denver,,80202,CO,2020-06-24,
"Martinez, Ryan W.",,,ryan.martinez89@gmail.com,5551702407,"5343 Pine St, # 28C",San Diego,,92130,CA,2020-02-08,
Nicholas Cook,,,nicholasc@mail.com,5559839516,5321 Market St,Charlotte,,28230,NC,2020-06-02,
"Parker, Kevin G.",,,kevinp@hotmail.com,5559451972,"1869 Market St, # 29D",New York,,10017,NY,2020-10-19,
"Gray, Richard",,,richardg@gmail.com,5552675512,"3609 Hill St, # 25D",Dallas,,75296,TX,2020-08-24,
"Smith, Linda W.",,,linda.smith@outlook.com,5551586702,"2677 Sunset Boulevard, # 4A",Los Angeles,,90033,CA,2020-10-16,
Michelle Garcia,,,michelle.garcia@protonmail.com,5555223856,7250 Main St,San Diego,,92119,CA,2020-01-13,
Emily Ward,,,emilyw@yahoo.com,5554142501,"198 Park Place, # 24D",Philadelphia,,19029,PA,2020-05-15,
Patricia James,,,patriciaj@mail.com,5556216132,"6672 River Dr, # 12D",Boston,,02165,MA,2020-04-20,
"Martinez, Steven",,,stevenm@mail.com,5555393826,1083 Market St,Chicago,,60651,IL,2020-04-20,
Dorothy Adams,,,dorothya@icloud.com,5555769622,7769 Main St,Houston,,77060,TX,2020-10-26,
John Allen,,,johna@yahoo.com,5557893791,"8578 Washington Blvd, # 37A",Charlotte,,28205,NC,2020-08-10,
Steven Taylor J.,,,steven.taylor76@aol.com,5557876001,5836 Washington Blvd,Los Angeles,,90054,CA,2020-08-27,
Charles Baker,,,charlesb@mail.com,5555134716,5540 Sunset Boulevard,New York,,10051,NY,2020-04-03,
"Wright, Michelle",,,michelle.wright18@yahoo.com,5554972627,4274 Park Place,San Antonio,,78210,TX,2020-04-20,
Steven Miller,,,stevenm@mail.com,5551478971,3245 Maple Dr,Nashville,,37203,TN,2020-04-18,
Paul Martin,,,paulm@icloud.com,5554980351,2200 Oak Ave,Fort Worth,,76166,TX,2020-02-19,
"Brown, Richard",,,richard.brown61@hotmail.com,5557562747,"3784 Maple Dr, # 13B",San Diego,,92152,CA,2020-09-11,
"Scott, Sharon",,,sharon.scott11@icloud.com,5554335391,"252 Oak Ave, # 49A",Chicago,,60679,IL,2020-04-20,
"Green, Tyler",,,tylerg@yahoo.com,5557746401,"1730 Sunset Boulevard, # 12A",Philadelphia,,19023,PA,2020-06-11,
Justin Jones,,,justinj@mail.com,5557984936,8445 Park Place,San Diego,,92180,CA,2020-07-12,
Christopher Bell X.,,,christopher.bell@hotmail.com,5553735414,4523 Washington Blvd,Austin,,78768,TX,2020-10-16,
Steven Watson,,,stevenw@protonmail.com,5559533551,4935 Oak Ave,Dallas,,75203,TX,2020-06-09,
"King, Laura",,,laurak@mail.com,5554669270,"8919 Oak Ave, # 33A",Philadelphia,,19016,PA,2020-02-02,
"Peterson, Ryan",,,ryanp@gmail.com,5554537761,"907 Oak Ave, # 15B",Los Angeles,,90033,CA,2020-08-01,
"Parker, Karen",,,karen.parker@icloud.com,5553860884,1937 Park Place,Phoenix,,85095,AZ,2020-11-23,
Steven Adams,,,stevena@gmail.com,5558338298,"7612 Forest Ave, # 50B",Phoenix,,85013,AZ,2020-08-10,
Barbara Davis,,,barbara.davis@aol.com,5555832316,8313 Park Place,Nashville,,37279,TN,2020-08-01,
Brandon Baker,,,brandon.baker@icloud.com,5553782663,"3097 Forest Ave, # 6A",Columbus,,43063,OH,2020-08-01,
"Miller, Angela",,,angela.miller@gmail.com,5553282983,680 Lake Road,Austin,,78786,TX,2020-01-03,
Nancy Collins A.,,,nancyc@protonmail.com,5551585546,"2678 Park Place, # 45D",Seattle,,98124,WA,2020-06-26,
"Carter, Richard",,,richardc@icloud.com,5557631399,4376 Main St,Denver,,80210,CO,2020-07-07,
Donna Brown,,,donnab@hotmail.com,5558135136,7735 Broadway,Phoenix,,85083,AZ,2020-07-13,
"Johnson, Dorothy",,,dorothyj@outlook.com,5554313981,"7312 Market St, # 41B",Indianapolis,,46240,IN,2020-10-19,
"Taylor, Brandon",,,brandon.taylor23@protonmail.com,5552486630,4305 Park Place,San Antonio,,78288,TX,2020-07-25,
Emily Collins,,,emilyc@aol.com,5559195515,1232 Sunset Boulevard,Chicago,,60643,IL,2020-03-10,
"Brown, Laura A.",,,laura.brown@hotmail.com,5551613488,7848 River Dr,Denver,,80261,CO,2020-05-02,
